ano,uf,cargo,instituto,data_fim,data_eleicao,amostra,candidato,pct
2022,CE,SENADOR,29 de setembro–1 de outubro,2022-10-01,2022-10-02,1200,Instituto,-9689.0
2022,CE,SENADOR,29 de setembro–1 de outubro,2022-10-01,2022-10-02,1200,Camilo (PT),66.0
2022,CE,SENADOR,29 de setembro–1 de outubro,2022-10-01,2022-10-02,1200,Kamila (Avante),17.0
2022,CE,SENADOR,29 de setembro–1 de outubro,2022-10-01,2022-10-02,1200,Érika (PSD),3.0
2022,CE,SENADOR,29 de setembro–1 de outubro,2022-10-01,2022-10-02,1200,Carlos (PSTU),1.0
2022,CE,SENADOR,29 de setembro–1 de outubro,2022-10-01,2022-10-02,1200,B/N,6.0
2022,CE,SENADOR,29 de setembro–1 de outubro,2022-10-01,2022-10-02,1200,Vantagem,49.0
2022,CE,SENADOR,29 de setembro–1 de outubro,2022-10-01,2022-10-02,1200,__IND__,7.0
2022,CE,SENADOR,29 de setembro–1 de outubro,2022-10-01,2022-10-02,1200,__BN__,0.0
2022,CE,SENADOR,26–30 de setembro,2022-09-30,2022-10-02,1600,Instituto,-1501.0
2022,CE,SENADOR,26–30 de setembro,2022-09-30,2022-10-02,1600,Camilo (PT),68.4
2022,CE,SENADOR,26–30 de setembro,2022-09-30,2022-10-02,1600,Kamila (Avante),21.2
2022,CE,SENADOR,26–30 de setembro,2022-09-30,2022-10-02,1600,Érika (PSD),1.7
2022,CE,SENADOR,26–30 de setembro,2022-09-30,2022-10-02,1600,Carlos (PSTU),0.1
2022,CE,SENADOR,26–30 de setembro,2022-09-30,2022-10-02,1600,B/N,4.7
2022,CE,SENADOR,26–30 de setembro,2022-09-30,2022-10-02,1600,Vantagem,47.2
2022,CE,SENADOR,26–30 de setembro,2022-09-30,2022-10-02,1600,__IND__,3.9
2022,CE,SENADOR,26–30 de setembro,2022-09-30,2022-10-02,1600,__BN__,0.0
2022,CE,SENADOR,28–30 de setembro,2022-09-30,2022-10-02,1000,Instituto,-7388.0
2022,CE,SENADOR,28–30 de setembro,2022-09-30,2022-10-02,1000,Camilo (PT),65.0
2022,CE,SENADOR,28–30 de setembro,2022-09-30,2022-10-02,1000,Kamila (Avante),16.0
2022,CE,SENADOR,28–30 de setembro,2022-09-30,2022-10-02,1000,Érika (PSD),5.0
2022,CE,SENADOR,28–30 de setembro,2022-09-30,2022-10-02,1000,Carlos (PSTU),0.0
2022,CE,SENADOR,28–30 de setembro,2022-09-30,2022-10-02,1000,B/N,8.0
2022,CE,SENADOR,28–30 de setembro,2022-09-30,2022-10-02,1000,Vantagem,49.0
2022,CE,SENADOR,28–30 de setembro,2022-09-30,2022-10-02,1000,__IND__,5.0
2022,CE,SENADOR,28–30 de setembro,2022-09-30,2022-10-02,1000,__BN__,0.0
2022,CE,SENADOR,28–29 de setembro,2022-09-29,2022-10-02,1000,Instituto,-3955.0
2022,CE,SENADOR,28–29 de setembro,2022-09-29,2022-10-02,1000,Camilo (PT),64.0
2022,CE,SENADOR,28–29 de setembro,2022-09-29,2022-10-02,1000,Kamila (Avante),15.0
2022,CE,SENADOR,28–29 de setembro,2022-09-29,2022-10-02,1000,Érika (PSD),5.0
2022,CE,SENADOR,28–29 de setembro,2022-09-29,2022-10-02,1000,Carlos (PSTU),0.0
2022,CE,SENADOR,28–29 de setembro,2022-09-29,2022-10-02,1000,B/N,9.0
2022,CE,SENADOR,28–29 de setembro,2022-09-29,2022-10-02,1000,Vantagem,49.0
2022,CE,SENADOR,28–29 de setembro,2022-09-29,2022-10-02,1000,__IND__,7.0
2022,CE,SENADOR,28–29 de setembro,2022-09-29,2022-10-02,1000,__BN__,0.0
2022,CE,SENADOR,24–28 de setembro,2022-09-28,2022-10-02,1600,Instituto,-7698.0
2022,CE,SENADOR,24–28 de setembro,2022-09-28,2022-10-02,1600,Camilo (PT),65.9
2022,CE,SENADOR,24–28 de setembro,2022-09-28,2022-10-02,1600,Kamila (Avante),23.3
2022,CE,SENADOR,24–28 de setembro,2022-09-28,2022-10-02,1600,Érika (PSD),1.0
2022,CE,SENADOR,24–28 de setembro,2022-09-28,2022-10-02,1600,Carlos (PSTU),1.7
2022,CE,SENADOR,24–28 de setembro,2022-09-28,2022-10-02,1600,B/N,4.4
2022,CE,SENADOR,24–28 de setembro,2022-09-28,2022-10-02,1600,Vantagem,42.6
2022,CE,SENADOR,24–28 de setembro,2022-09-28,2022-10-02,1600,__IND__,4.7
2022,CE,SENADOR,24–28 de setembro,2022-09-28,2022-10-02,1600,__BN__,0.0
2022,CE,SENADOR,23–27 de setembro,2022-09-27,2022-10-02,1540,Instituto,-5327.0
2022,CE,SENADOR,23–27 de setembro,2022-09-27,2022-10-02,1540,Camilo (PT),62.5
2022,CE,SENADOR,23–27 de setembro,2022-09-27,2022-10-02,1540,Kamila (Avante),14.5
2022,CE,SENADOR,23–27 de setembro,2022-09-27,2022-10-02,1540,Érika (PSD),4.3
2022,CE,SENADOR,23–27 de setembro,2022-09-27,2022-10-02,1540,Carlos (PSTU),0.7
2022,CE,SENADOR,23–27 de setembro,2022-09-27,2022-10-02,1540,B/N,9.3
2022,CE,SENADOR,23–27 de setembro,2022-09-27,2022-10-02,1540,Vantagem,48.0
2022,CE,SENADOR,23–27 de setembro,2022-09-27,2022-10-02,1540,__IND__,8.7
2022,CE,SENADOR,23–27 de setembro,2022-09-27,2022-10-02,1540,__BN__,0.0
2022,CE,SENADOR,17–22 de setembro,2022-09-22,2022-10-02,1600,Instituto,-4989.0
2022,CE,SENADOR,17–22 de setembro,2022-09-22,2022-10-02,1600,Camilo (PT),64.1
2022,CE,SENADOR,17–22 de setembro,2022-09-22,2022-10-02,1600,Kamila (Avante),11.9
2022,CE,SENADOR,17–22 de setembro,2022-09-22,2022-10-02,1600,Érika (PSD),1.0
2022,CE,SENADOR,17–22 de setembro,2022-09-22,2022-10-02,1600,Carlos (PSTU),0.1
2022,CE,SENADOR,17–22 de setembro,2022-09-22,2022-10-02,1600,B/N,13.0
2022,CE,SENADOR,17–22 de setembro,2022-09-22,2022-10-02,1600,Vantagem,48.0
2022,CE,SENADOR,17–22 de setembro,2022-09-22,2022-10-02,1600,__IND__,11.0
2022,CE,SENADOR,17–22 de setembro,2022-09-22,2022-10-02,1600,__BN__,0.0
2022,CE,SENADOR,21–22 de setembro,2022-09-22,2022-10-02,1000,Instituto,-9929.0
2022,CE,SENADOR,21–22 de setembro,2022-09-22,2022-10-02,1000,Camilo (PT),61.0
2022,CE,SENADOR,21–22 de setembro,2022-09-22,2022-10-02,1000,Kamila (Avante),13.0
2022,CE,SENADOR,21–22 de setembro,2022-09-22,2022-10-02,1000,Érika (PSD),3.0
2022,CE,SENADOR,21–22 de setembro,2022-09-22,2022-10-02,1000,Carlos (PSTU),0.0
2022,CE,SENADOR,21–22 de setembro,2022-09-22,2022-10-02,1000,B/N,11.0
2022,CE,SENADOR,21–22 de setembro,2022-09-22,2022-10-02,1000,Vantagem,48.0
2022,CE,SENADOR,21–22 de setembro,2022-09-22,2022-10-02,1000,__IND__,12.0
2022,CE,SENADOR,21–22 de setembro,2022-09-22,2022-10-02,1000,__BN__,0.0
2022,CE,SENADOR,19–21 de setembro,2022-09-21,2022-10-02,1200,Instituto,-3914.0
2022,CE,SENADOR,19–21 de setembro,2022-09-21,2022-10-02,1200,Camilo (PT),66.0
2022,CE,SENADOR,19–21 de setembro,2022-09-21,2022-10-02,1200,Kamila (Avante),13.0
2022,CE,SENADOR,19–21 de setembro,2022-09-21,2022-10-02,1200,Érika (PSD),3.0
2022,CE,SENADOR,19–21 de setembro,2022-09-21,2022-10-02,1200,Carlos (PSTU),1.0
2022,CE,SENADOR,19–21 de setembro,2022-09-21,2022-10-02,1200,B/N,9.0
2022,CE,SENADOR,19–21 de setembro,2022-09-21,2022-10-02,1200,Vantagem,53.0
2022,CE,SENADOR,19–21 de setembro,2022-09-21,2022-10-02,1200,__IND__,8.0
2022,CE,SENADOR,19–21 de setembro,2022-09-21,2022-10-02,1200,__BN__,0.0
2022,CE,SENADOR,18–20 de setembro,2022-09-20,2022-10-02,1000,Instituto,-4936.0
2022,CE,SENADOR,18–20 de setembro,2022-09-20,2022-10-02,1000,Camilo (PT),64.0
2022,CE,SENADOR,18–20 de setembro,2022-09-20,2022-10-02,1000,Kamila (Avante),17.0
2022,CE,SENADOR,18–20 de setembro,2022-09-20,2022-10-02,1000,Érika (PSD),3.0
2022,CE,SENADOR,18–20 de setembro,2022-09-20,2022-10-02,1000,Carlos (PSTU),1.0
2022,CE,SENADOR,18–20 de setembro,2022-09-20,2022-10-02,1000,B/N,5.0
2022,CE,SENADOR,18–20 de setembro,2022-09-20,2022-10-02,1000,Vantagem,47.0
2022,CE,SENADOR,18–20 de setembro,2022-09-20,2022-10-02,1000,__IND__,10.0
2022,CE,SENADOR,18–20 de setembro,2022-09-20,2022-10-02,1000,__BN__,0.0
2022,CE,SENADOR,9–11 de setembro,2022-09-11,2022-10-02,1000,Instituto,-6344.0
2022,CE,SENADOR,9–11 de setembro,2022-09-11,2022-10-02,1000,Camilo (PT),68.0
2022,CE,SENADOR,9–11 de setembro,2022-09-11,2022-10-02,1000,Kamila (Avante),10.0
2022,CE,SENADOR,9–11 de setembro,2022-09-11,2022-10-02,1000,Érika (PSD),4.0
2022,CE,SENADOR,9–11 de setembro,2022-09-11,2022-10-02,1000,Carlos (PSTU),1.0
2022,CE,SENADOR,9–11 de setembro,2022-09-11,2022-10-02,1000,B/N,12.0
2022,CE,SENADOR,9–11 de setembro,2022-09-11,2022-10-02,1000,Vantagem,58.0
2022,CE,SENADOR,9–11 de setembro,2022-09-11,2022-10-02,1000,__IND__,5.0
2022,CE,SENADOR,9–11 de setembro,2022-09-11,2022-10-02,1000,__BN__,0.0
2022,CE,SENADOR,8–12 de setembro,2022-09-12,2022-10-02,1540,Instituto,-4394.0
2022,CE,SENADOR,8–12 de setembro,2022-09-12,2022-10-02,1540,Camilo (PT),64.4
2022,CE,SENADOR,8–12 de setembro,2022-09-12,2022-10-02,1540,Kamila (Avante),9.5
2022,CE,SENADOR,8–12 de setembro,2022-09-12,2022-10-02,1540,Érika (PSD),3.6
2022,CE,SENADOR,8–12 de setembro,2022-09-12,2022-10-02,1540,Carlos (PSTU),1.0
