ano,uf,cargo,candidato,pct_validos,fonte
2022,AC,SENADOR,Socorro Neri ( PP ),5.95,pt:Eleições estaduais no Acre em 2022
2022,AC,SENADOR,Meire Serafim ( UNIÃO ),4.9,pt:Eleições estaduais no Acre em 2022
2022,AC,SENADOR,Coronel Ulysses (UNIÃO),4.85,pt:Eleições estaduais no Acre em 2022
2022,AC,SENADOR,Zezinho Barbary (PP),4.6,pt:Eleições estaduais no Acre em 2022
2022,AC,SENADOR,Gerlen Diniz (PP),4.5,pt:Eleições estaduais no Acre em 2022
2022,AC,SENADOR,Eduardo Velloso (UNIÃO),3.87,pt:Eleições estaduais no Acre em 2022
2022,AC,SENADOR,Antônia Lúcia ( Republicanos ),3.75,pt:Eleições estaduais no Acre em 2022
2022,AC,SENADOR,Roberto Duarte (Republicanos),3.34,pt:Eleições estaduais no Acre em 2022
2022,SE,SENADOR,Laércio Oliveira PP,28.57,pt:Eleições estaduais em Sergipe em 2022
2022,SE,SENADOR,Valadares Filho PSB,24.65,pt:Eleições estaduais em Sergipe em 2022
2022,SE,SENADOR,Eduardo Amorim PL,22.68,pt:Eleições estaduais em Sergipe em 2022
2022,SE,SENADOR,Danielle Garcia PODE,18.98,pt:Eleições estaduais em Sergipe em 2022
2022,SE,SENADOR,Henri Clay PSOL,4.86,pt:Eleições estaduais em Sergipe em 2022
2022,SE,SENADOR,Heraldo Goes PSTU,0.15,pt:Eleições estaduais em Sergipe em 2022
2022,SE,SENADOR,Airton Costa DC,0.12,pt:Eleições estaduais em Sergipe em 2022
2022,SE,GOVERNADOR,Rogério Carvalho PT,44.7,pt:Eleições estaduais em Sergipe em 2022
2022,SE,GOVERNADOR,Fábio Mitidieri PSD,38.91,pt:Eleições estaduais em Sergipe em 2022
2022,SE,GOVERNADOR,Alessandro Vieira PSDB,10.88,pt:Eleições estaduais em Sergipe em 2022
2022,SE,GOVERNADOR,Niully Campos PSOL,4.93,pt:Eleições estaduais em Sergipe em 2022
2022,SE,GOVERNADOR,Dr. Cláudio DC,0.35,pt:Eleições estaduais em Sergipe em 2022
2022,SE,GOVERNADOR,Aroldo Félix UP,0.14,pt:Eleições estaduais em Sergipe em 2022
2022,SE,GOVERNADOR,Elinos Sabino PSTU,0.09,pt:Eleições estaduais em Sergipe em 2022
2018,AC,SENADOR,Sérgio Petecão PSD,30.72,pt:Eleições estaduais no Acre em 2018
2018,AC,SENADOR,Márcio Bittar MDB,23.28,pt:Eleições estaduais no Acre em 2018
2018,AC,SENADOR,Jorge Viana PT,14.74,pt:Eleições estaduais no Acre em 2018
2018,AC,SENADOR,Ney Amorim PT,14.5,pt:Eleições estaduais no Acre em 2018
2018,AC,SENADOR,Minoru Kinpara REDE,14.21,pt:Eleições estaduais no Acre em 2018
2018,AC,SENADOR,Paulo Pedrazza PSL,2.55,pt:Eleições estaduais no Acre em 2018
2018,AC,GOVERNADOR,Gladson Cameli PP,53.71,pt:Eleições estaduais no Acre em 2018
2018,AC,GOVERNADOR,Marcus Alexandre PT,34.54,pt:Eleições estaduais no Acre em 2018
2018,AC,GOVERNADOR,Coronel Ulysses PSL,10.8,pt:Eleições estaduais no Acre em 2018
2018,AC,GOVERNADOR,Janaina Furtado REDE,0.66,pt:Eleições estaduais no Acre em 2018
2018,AC,GOVERNADOR,David Hall AVANTE,0.29,pt:Eleições estaduais no Acre em 2018
2018,SE,SENADOR,Alessandro Vieira REDE,25.95,pt:Eleições estaduais em Sergipe em 2018
2018,SE,SENADOR,Rogério Carvalho PT,16.42,pt:Eleições estaduais em Sergipe em 2018
2018,SE,SENADOR,André Moura PSC,13.74,pt:Eleições estaduais em Sergipe em 2018
2018,SE,SENADOR,Jackson Barreto MDB,11.2,pt:Eleições estaduais em Sergipe em 2018
2018,SE,SENADOR,Antônio Carlos Valadares PSB,9.58,pt:Eleições estaduais em Sergipe em 2018
2018,SE,SENADOR,Pastor Heleno PRB,9.03,pt:Eleições estaduais em Sergipe em 2018
2018,SE,SENADOR,Henri Clay PPL,5.99,pt:Eleições estaduais em Sergipe em 2018
2018,SE,SENADOR,Sônia Meire PSOL,3.43,pt:Eleições estaduais em Sergipe em 2018
2018,SE,SENADOR,Cadu Silva PSL,2.36,pt:Eleições estaduais em Sergipe em 2018
2018,SE,SENADOR,Reynaldo Nunes PV,1.48,pt:Eleições estaduais em Sergipe em 2018
2018,SE,SENADOR,Jossimário Mick PSOL,0.64,pt:Eleições estaduais em Sergipe em 2018
2018,SE,SENADOR,Clarckson Messias PSTU,0.16,pt:Eleições estaduais em Sergipe em 2018
2018,SE,GOVERNADOR,Belivaldo Chagas PSD,40.84,pt:Eleições estaduais em Sergipe em 2018
2018,SE,GOVERNADOR,Valadares Filho PSB,21.49,pt:Eleições estaduais em Sergipe em 2018
2018,SE,GOVERNADOR,Eduardo Amorim PSDB,20.5,pt:Eleições estaduais em Sergipe em 2018
2018,SE,GOVERNADOR,Dr. Emerson REDE,7.03,pt:Eleições estaduais em Sergipe em 2018
2018,SE,GOVERNADOR,Milton Andrade PMN,3.56,pt:Eleições estaduais em Sergipe em 2018
2018,SE,GOVERNADOR,Eduardo Cassini PSL,3.27,pt:Eleições estaduais em Sergipe em 2018
2018,SE,GOVERNADOR,Márcio Souza PSOL,1.58,pt:Eleições estaduais em Sergipe em 2018
2018,SE,GOVERNADOR,Mendonça Prado DEM,1.24,pt:Eleições estaduais em Sergipe em 2018
2018,SE,GOVERNADOR,Gilvani Santos PSTU,0.49,pt:Eleições estaduais em Sergipe em 2018
